"term","estimate","std.error","statistic","p.value","conf.low","conf.high","estimator","model"
"(Intercept)",0.00294132085496184,0.385153724697526,-15.1339482247139,9.6714586905686e-52,0.00137159451936642,0.00620955313311078,"glm_run_incident","pri"
"expo",1.00146473149346,0.16378086663883,0.0089366960297164,0.992869643123868,0.716683276277165,1.36405744636069,"glm_run_incident","pri"
"SexM",0.81068029362385,0.0980320293557744,-2.14094838713254,0.0322782004711832,0.668580515292329,0.982076524374671,"glm_run_incident","pri"
"age_indx",1.03802363513565,0.00516060923937535,7.23142416595461,4.77954964142542e-13,1.02762424927043,1.04862895226363,"glm_run_incident","pri"
"dx.mi",1.60382571644046,0.10708703760086,4.41128878469729,0.0000102757160239867,1.29694228034012,1.97408957860383,"glm_run_incident","pri"
"dx.stroke_embo",NA,NA,NA,NA,NA,NA,"glm_run_incident","pri"
"I(time)",0.97853628010577,0.0164451337604897,-1.3193821274029,0.187041393768643,0.947677834728916,1.01081739457181,"glm_run_incident","pri"
"I(time^2)",1.00068723243452,0.000520962576903288,1.31870585125458,0.187267469861039,0.999650826635876,1.00169617264038,"glm_run_incident","pri"
"(Intercept)",0.00536232965583873,0.561247558850866,-9.31559822148424,1.2126721755503e-20,0.00175240288677524,0.0158263013990781,"glm_run_incident","M"
"expo",0.982741729795629,0.234573061092584,-0.0742153851937862,0.940839003997186,0.603107222767318,1.51967982048929,"glm_run_incident","M"
"age_indx",1.02590628342375,0.00780605580685361,3.27648194136256,0.00105109034170633,1.01045220989482,1.04185896325929,"glm_run_incident","M"
"dx.mi",1.08604749990126,0.151177189895398,0.54601464024641,0.585055873648806,0.80299632562012,1.45387694067183,"glm_run_incident","M"
"dx.stroke_embo",NA,NA,NA,NA,NA,NA,"glm_run_incident","M"
"I(time)",1.00421911044625,0.024408832276821,0.172488175907786,0.863053756305165,0.957761580319783,1.05404833570749,"glm_run_incident","M"
"I(time^2)",0.999993457841275,0.000763246236358666,-0.00857151966567508,0.993161000540873,0.998465253357504,1.0014622583068,"glm_run_incident","M"
"(Intercept)",0.00168874266701086,0.515005805638092,-12.3955321300667,2.76305437889482e-35,0.000606702243124773,0.00457248658982314,"glm_run_incident","F"
"expo",0.986130523027723,0.230285880783987,-0.0606487761952982,0.95163892720451,0.611162557762805,1.51371708889751,"glm_run_incident","F"
"age_indx",1.04583574944369,0.00689047934495883,6.50409409396943,7.81629631794287e-11,1.03188786534248,1.06015406389538,"glm_run_incident","F"
"dx.mi",2.39046016046191,0.14808049575929,5.88521721716507,0.00000000397531539154833,1.77915211481006,3.18173902600328,"glm_run_incident","F"
"dx.stroke_embo",NA,NA,NA,NA,NA,NA,"glm_run_incident","F"
"I(time)",0.963069890119221,0.0224789684578618,-1.673977810799,0.0941349603244503,0.921827401891696,1.00683347203251,"glm_run_incident","F"
"I(time^2)",1.0011411866484,0.000719469001914408,1.58524687909311,0.112910253148827,0.999701117517884,1.00252956259755,"glm_run_incident","F"
"(Intercept)",0.00294132085496184,0.385153724697526,-15.1339482247139,9.6714586905686e-52,0.00137159451936642,0.00620955313311078,"glm_run_incident","inci"
"expo",1.00146473149346,0.16378086663883,0.0089366960297164,0.992869643123868,0.716683276277165,1.36405744636069,"glm_run_incident","inci"
"SexM",0.81068029362385,0.0980320293557744,-2.14094838713254,0.0322782004711832,0.668580515292329,0.982076524374671,"glm_run_incident","inci"
"age_indx",1.03802363513565,0.00516060923937535,7.23142416595461,4.77954964142542e-13,1.02762424927043,1.04862895226363,"glm_run_incident","inci"
"dx.mi",1.60382571644046,0.10708703760086,4.41128878469729,0.0000102757160239867,1.29694228034012,1.97408957860383,"glm_run_incident","inci"
"I(time)",0.97853628010577,0.0164451337604897,-1.3193821274029,0.187041393768643,0.947677834728916,1.01081739457181,"glm_run_incident","inci"
"I(time^2)",1.00068723243452,0.000520962576903288,1.31870585125458,0.187267469861039,0.999650826635876,1.00169617264038,"glm_run_incident","inci"
