"rn","0","1","SMD"
"n","   806","    81",""
"fu (median [IQR])","364.00 [141.50, 671.75]","336.00 [157.00, 754.00]"," 0.061"
"Sex = M (%)","   407 ( 50.5) ","    41 ( 50.6) "," 0.002"
"age_indx (median [IQR])"," 67.56 [60.66, 75.31]"," 66.06 [61.27, 73.08]"," 0.006"
"time_af_index (median [IQR])","132.00 [59.00, 274.00]"," 17.00 [8.00, 100.00]"," 0.395"
"chadsvas_score (mean (SD))","  3.28 (1.42)","  3.27 (1.41)"," 0.006"
"dx.chf = 1 (%)","   266 ( 33.0) ","    27 ( 33.3) "," 0.007"
"dx.mi = 1 (%)","   204 ( 25.3) ","    23 ( 28.4) "," 0.070"
"dx.pvd = 1 (%)","    77 (  9.6) ","     6 (  7.4) "," 0.077"
"dx.cbd = 1 (%)","    53 (  6.6) ","     6 (  7.4) "," 0.033"
"dx.copd = 1 (%)","    66 (  8.2) ","     7 (  8.6) "," 0.016"
"dx.dementia = 1 (%)","     1 (  0.1) ","     0 (  0.0) "," 0.050"
"dx.paralysis = 0 (%)","   806 (100.0) ","    81 (100.0) ","<0.001"
"dx.dm = 1 (%)","   473 ( 58.7) ","    49 ( 60.5) "," 0.037"
"dx.crf = 1 (%)","   806 (100.0) ","    81 (100.0) ","<0.001"
"dx.liver_mild = 1 (%)","    24 (  3.0) ","     2 (  2.5) "," 0.031"
"dx.liver_modsev = 1 (%)","     5 (  0.6) ","     1 (  1.2) "," 0.064"
"dx.ulcers = 1 (%)","   118 ( 14.6) ","    12 ( 14.8) "," 0.005"
"dx.asthma = 1 (%)","    12 (  1.5) ","     2 (  2.5) "," 0.070"
"dx.ra = 1 (%)","     7 (  0.9) ","     1 (  1.2) "," 0.036"
"dx.aids = 0 (%)","   806 (100.0) ","    81 (100.0) ","<0.001"
"dx.cancer = 1 (%)","    50 (  6.2) ","     7 (  8.6) "," 0.093"
"dx.cancer_mets = 1 (%)","     2 (  0.2) ","     1 (  1.2) "," 0.115"
"dx.dm_com0 = 1 (%)","   375 ( 46.5) ","    39 ( 48.1) "," 0.032"
"dx.dm_com1 = 1 (%)","   343 ( 42.6) ","    35 ( 43.2) "," 0.013"
"dx.htn = 1 (%)","   696 ( 86.4) ","    73 ( 90.1) "," 0.117"
"dx.constipation = 1 (%)","   189 ( 23.4) ","    14 ( 17.3) "," 0.154"
"antiplatelet.baseline = 1 (%)","   597 ( 74.1) ","    56 ( 69.1) "," 0.110"
