"rn","0","1","SMD"
"n","248632","  2390",""
"fu (median [IQR])","382.00 [161.00, 774.00]","368.50 [166.25, 737.75]"," 0.042"
"Sex = M (%)","128070 ( 51.5) ","  1248 ( 52.2) "," 0.014"
"age_indx (median [IQR])"," 68.12 [59.75, 75.74]"," 67.25 [61.28, 72.89]"," 0.014"
"time_af_index (median [IQR])","365.00 [152.00, 739.00]"," 20.00 [9.25, 81.75]"," 0.916"
"chadsvas_score (mean (SD))","  3.23 (1.40)","  3.19 (1.36)"," 0.028"
"dx.chf = 1 (%)"," 80545 ( 32.4) ","   764 ( 32.0) "," 0.009"
"dx.mi = 1 (%)"," 40573 ( 16.3) ","   664 ( 27.8) "," 0.279"
"dx.pvd = 1 (%)"," 25800 ( 10.4) ","   175 (  7.3) "," 0.108"
"dx.cbd = 1 (%)"," 15819 (  6.4) ","   151 (  6.3) "," 0.002"
"dx.copd = 1 (%)"," 31123 ( 12.5) ","   186 (  7.8) "," 0.157"
"dx.dementia = 1 (%)","  4378 (  1.8) ","     0 (  0.0) "," 0.189"
"dx.paralysis = 1 (%)","   487 (  0.2) ","     0 (  0.0) "," 0.063"
"dx.dm = 1 (%)","128740 ( 51.8) ","  1400 ( 58.6) "," 0.137"
"dx.crf = 1 (%)","248556 (100.0) ","  2390 (100.0) "," 0.025"
"dx.liver_mild = 1 (%)","  5224 (  2.1) ","    47 (  2.0) "," 0.010"
"dx.liver_modsev = 1 (%)","  2215 (  0.9) ","    26 (  1.1) "," 0.020"
"dx.ulcers = 1 (%)"," 35683 ( 14.4) ","   365 ( 15.3) "," 0.026"
"dx.asthma = 1 (%)"," 11161 (  4.5) ","    66 (  2.8) "," 0.093"
"dx.ra = 1 (%)","  1705 (  0.7) ","    30 (  1.3) "," 0.058"
"dx.aids = 0 (%)","248632 (100.0) ","  2390 (100.0) ","<0.001"
"dx.cancer = 1 (%)"," 22030 (  8.9) ","   218 (  9.1) "," 0.009"
"dx.cancer_mets = 1 (%)","   870 (  0.3) ","    30 (  1.3) "," 0.102"
"dx.dm_com0 = 1 (%)","103707 ( 41.7) ","  1097 ( 45.9) "," 0.084"
"dx.dm_com1 = 1 (%)"," 91103 ( 36.6) ","  1002 ( 41.9) "," 0.108"
"dx.htn = 1 (%)","215936 ( 86.8) ","  2138 ( 89.5) "," 0.081"
"dx.constipation = 1 (%)"," 58640 ( 23.6) ","   384 ( 16.1) "," 0.189"
"antiplatelet.baseline = 1 (%)","186570 ( 75.0) ","  1528 ( 63.9) "," 0.243"
