"rn","0","1","SMD"
"n"," 11986","  1266",""
"fu (median [IQR])","274.00 [121.00, 518.00]","304.00 [122.00, 578.00]"," 0.094"
"Sex = M (%)","  5991 ( 50.0) ","   702 ( 55.5) "," 0.110"
"age_indx (median [IQR])"," 67.64 [60.80, 74.22]"," 66.35 [61.47, 72.33]"," 0.053"
"time_af_index (median [IQR])"," 16.00 [9.00, 26.00]"," 13.00 [5.00, 24.00]"," 0.237"
"chadsvas_score (mean (SD))","  3.16 (1.35)","  3.04 (1.32)"," 0.089"
"dx.chf = 1 (%)","  3717 ( 31.0) ","   383 ( 30.3) "," 0.016"
"dx.mi = 1 (%)","  2576 ( 21.5) ","   302 ( 23.9) "," 0.056"
"dx.pvd = 1 (%)","   933 (  7.8) ","    62 (  4.9) "," 0.119"
"dx.cbd = 1 (%)","   549 (  4.6) ","    72 (  5.7) "," 0.050"
"dx.copd = 1 (%)","   868 (  7.2) ","   127 ( 10.0) "," 0.099"
"dx.dementia = 1 (%)","    16 (  0.1) ","     0 (  0.0) "," 0.052"
"dx.paralysis = 0 (%)"," 11986 (100.0) ","  1266 (100.0) ","<0.001"
"dx.dm = 1 (%)","  6520 ( 54.4) ","   672 ( 53.1) "," 0.026"
"dx.crf = 1 (%)"," 11986 (100.0) ","  1266 (100.0) ","<0.001"
"dx.liver_mild = 1 (%)","   348 (  2.9) ","    13 (  1.0) "," 0.136"
"dx.liver_modsev = 1 (%)","    68 (  0.6) ","    12 (  0.9) "," 0.044"
"dx.ulcers = 1 (%)","  1586 ( 13.2) ","   133 ( 10.5) "," 0.084"
"dx.stroke_embo = 0 (%)"," 11986 (100.0) ","  1266 (100.0) ","<0.001"
"dx.asthma = 1 (%)","   213 (  1.8) ","    20 (  1.6) "," 0.015"
"dx.ra = 1 (%)","   153 (  1.3) ","    37 (  2.9) "," 0.115"
"dx.aids = 0 (%)"," 11986 (100.0) ","  1266 (100.0) ","<0.001"
"dx.cancer = 1 (%)","   716 (  6.0) ","    82 (  6.5) "," 0.021"
"dx.cancer_mets = 1 (%)","    15 (  0.1) ","     4 (  0.3) "," 0.041"
"dx.dm_com0 = 1 (%)","  5187 ( 43.3) ","   448 ( 35.4) "," 0.162"
"dx.dm_com1 = 1 (%)","  4686 ( 39.1) ","   516 ( 40.8) "," 0.034"
"dx.htn = 1 (%)"," 10088 ( 84.2) ","  1169 ( 92.3) "," 0.256"
"dx.constipation = 1 (%)","  2816 ( 23.5) ","   171 ( 13.5) "," 0.259"
"antiplatelet = 1 (%)","  8545 ( 71.3) ","   697 ( 55.1) "," 0.341"
